"","carat","cut","color","clarity","depth","table","price","x","y","z"
"1",0.29,"Premium","I","VS2",62.4,58,334,4.2,4.23,2.63
"2",0.9,"Premium","I","VS2",63,58,2761,6.16,6.12,3.87
"3",0.9,"Premium","I","VS2",61.9,59,2857,6.2,6.14,3.82
"4",0.31,"Premium","I","VS2",60.8,58,558,4.37,4.34,2.65
"5",0.31,"Premium","I","VS2",59.8,60,558,4.42,4.38,2.63
"6",0.31,"Premium","I","VS2",62.3,57,558,4.35,4.32,2.7
"7",0.31,"Premium","I","VS2",60.8,60,558,4.42,4.37,2.67
"8",0.31,"Premium","I","VS2",59.9,60,558,4.44,4.41,2.65
"9",0.31,"Premium","I","VS2",61.1,58,558,4.38,4.36,2.67
"10",0.31,"Premium","I","VS2",60.7,61,558,4.34,4.32,2.63
"11",0.31,"Premium","I","VS2",62.3,60,558,4.32,4.31,2.69
"12",0.9,"Premium","I","VS2",58.7,60,2923,6.35,6.28,3.7
"13",0.9,"Premium","I","VS2",62.8,61,3246,6.12,6.02,3.81
"14",0.9,"Premium","I","VS2",58.4,62,3276,6.35,6.29,3.69
"15",0.91,"Premium","I","VS2",63,58,3282,6.15,6.07,3.85
"16",0.9,"Premium","I","VS2",63,59,3292,6.1,6.06,3.83
"17",0.9,"Premium","I","VS2",62.6,62,3292,6.13,6.04,3.81
"18",0.9,"Premium","I","VS2",61.2,62,3338,6.19,6.13,3.77
"19",0.91,"Premium","I","VS2",62.4,61,3376,6.18,6.16,3.85
"20",0.9,"Premium","I","VS2",59.1,59,3385,6.28,6.24,3.7
"21",0.9,"Premium","I","VS2",61.9,58,3398,6.18,6.23,3.84
"22",0.9,"Premium","I","VS2",61.8,59,3398,6.15,6.21,3.82
"23",0.9,"Premium","I","VS2",59.8,61,3431,6.22,6.13,3.69
"24",0.9,"Premium","I","VS2",62.4,60,3431,6.16,6.06,3.81
"25",0.9,"Premium","I","VS2",61.6,58,3478,6.15,6.09,3.77
"26",0.9,"Premium","I","VS2",62.4,58,3539,6.16,6.22,3.86
"27",0.91,"Premium","I","VS2",62.7,58,3579,6.14,6.18,3.86
"28",0.9,"Premium","I","VS2",60.1,59,3663,6.37,6.25,3.79
"29",1.02,"Premium","I","VS2",61.1,59,3713,6.4,6.37,3.9
"30",0.96,"Premium","I","VS2",60.6,60,3808,6.47,6.4,3.9
"31",0.95,"Premium","I","VS2",62.9,57,3818,6.24,6.19,3.91
"32",0.96,"Premium","I","VS2",60.6,60,3876,6.4,6.47,3.9
"33",0.92,"Premium","I","VS2",60.9,58,3895,6.28,6.27,3.82
"34",1,"Premium","I","VS2",62.7,62,3918,6.32,6.27,3.95
"35",0.97,"Premium","I","VS2",62.2,56,3948,6.34,6.29,3.94
"36",0.32,"Premium","I","VS2",62.6,58,576,4.42,4.37,2.75
"37",0.32,"Premium","I","VS2",61.1,57,576,4.42,4.39,2.69
"38",0.32,"Premium","I","VS2",62.2,59,576,4.37,4.35,2.71
"39",0.32,"Premium","I","VS2",62.8,58,576,4.37,4.33,2.73
"40",0.93,"Premium","I","VS2",62.7,61,4073,6.24,6.14,3.88
"41",1.09,"Premium","I","VS2",59,61,4090,6.78,6.75,3.98
"42",1.2,"Premium","I","VS2",61.3,60,4131,6.79,6.75,4.15
"43",1,"Premium","I","VS2",62.6,59,4155,6.33,6.28,3.95
"44",1.12,"Premium","I","VS2",62.4,58,4321,6.63,6.59,4.13
"45",1,"Premium","I","VS2",61.6,59,4372,6.39,6.47,3.96
"46",1.13,"Premium","I","VS2",60.2,61,4430,6.74,6.71,4.05
"47",1,"Premium","I","VS2",61.6,59,4452,6.47,6.39,3.96
"48",1.02,"Premium","I","VS2",62,58,4459,6.44,6.47,4
"49",1.07,"Premium","I","VS2",60.7,58,4491,6.62,6.66,4.03
"50",1.09,"Premium","I","VS2",63,56,4519,6.61,6.57,4.15
"51",1.22,"Premium","I","VS2",61.6,59,4562,6.86,6.81,4.21
"52",1.19,"Premium","I","VS2",59.3,59,4591,6.98,6.88,4.11
"53",1.01,"Premium","I","VS2",62.5,58,4592,6.39,6.44,4.01
"54",1.13,"Premium","I","VS2",62,58,4611,6.64,6.69,4.13
"55",1.09,"Premium","I","VS2",61.3,58,4659,6.63,6.58,4.05
"56",1.02,"Premium","I","VS2",59.5,59,4662,6.54,6.5,3.88
"57",1.21,"Premium","I","VS2",61.6,61,4669,6.86,6.8,4.21
"58",1.01,"Premium","I","VS2",62.5,58,4676,6.44,6.39,4.01
"59",1.11,"Premium","I","VS2",58.3,60,4744,6.84,6.78,3.97
"60",1.11,"Premium","I","VS2",63,53,4744,6.64,6.59,4.17
"61",1.2,"Premium","I","VS2",62.3,57,4844,6.79,6.74,4.22
"62",0.33,"Premium","I","VS2",61,61,594,4.46,4.43,2.71
"63",0.33,"Premium","I","VS2",60.6,58,594,4.47,4.44,2.7
"64",0.33,"Premium","I","VS2",62,60,594,4.46,4.41,2.75
"65",0.33,"Premium","I","VS2",62.6,58,594,4.42,4.34,2.74
"66",0.33,"Premium","I","VS2",61.1,59,594,4.44,4.4,2.7
"67",1.24,"Premium","I","VS2",61.2,58,4858,6.94,6.89,4.23
"68",1.21,"Premium","I","VS2",62.6,59,4884,6.77,6.67,4.21
"69",1.11,"Premium","I","VS2",60.4,58,4942,6.79,6.73,4.08
"70",1.16,"Premium","I","VS2",62.2,58,4958,6.74,6.67,4.17
"71",1.13,"Premium","I","VS2",62.4,59,4964,6.63,6.58,4.12
"72",1.12,"Premium","I","VS2",62.8,57,4986,6.68,6.61,4.17
"73",1.2,"Premium","I","VS2",62.2,61,5006,6.74,6.73,4.19
"74",1.14,"Premium","I","VS2",62.8,60,5008,6.68,6.59,4.17
"75",1.16,"Premium","I","VS2",62.4,58,5016,6.69,6.65,4.16
"76",1.12,"Premium","I","VS2",61.9,58,5027,6.63,6.68,4.12
"77",1.12,"Premium","I","VS2",61.9,58,5119,6.68,6.63,4.12
"78",1.15,"Premium","I","VS2",62.6,56,5120,6.74,6.67,4.2
"79",1.3,"Premium","I","VS2",60.3,60,5242,7.01,6.99,4.22
"80",1.09,"Premium","I","VS2",60.1,59,5306,6.74,6.67,4.03
"81",1.22,"Premium","I","VS2",60.1,58,5405,6.92,7,4.18
"82",1.19,"Premium","I","VS2",61.7,57,5439,6.84,6.77,4.2
"83",1.2,"Premium","I","VS2",62.1,59,5474,6.77,6.72,4.19
"84",1.21,"Premium","I","VS2",62.2,59,5502,6.79,6.85,4.24
"85",1.23,"Premium","I","VS2",61.7,58,5521,6.85,6.87,4.23
"86",1.23,"Premium","I","VS2",61.7,58,5622,6.87,6.85,4.23
"87",1.2,"Premium","I","VS2",62.6,61,5645,6.76,6.68,4.21
"88",1.22,"Premium","I","VS2",62.9,58,5649,6.8,6.75,4.26
"89",1.2,"Premium","I","VS2",62.6,58,5699,6.77,6.72,4.22
"90",1.2,"Premium","I","VS2",62.6,58,5699,6.77,6.72,4.22
"91",1.2,"Premium","I","VS2",61.8,55,5699,6.93,6.8,4.24
"92",1.22,"Premium","I","VS2",62.3,59,5832,6.79,6.83,4.24
"93",1.31,"Premium","I","VS2",60.4,59,5832,7.16,7.05,4.29
"94",1.24,"Premium","I","VS2",60.1,59,5889,7.02,6.95,4.2
"95",1.24,"Premium","I","VS2",62.1,55,5889,6.91,6.87,4.28
"96",1.25,"Premium","I","VS2",62.2,57,5925,6.92,6.84,4.28
"97",1.21,"Premium","I","VS2",62.3,58,5962,6.82,6.79,4.24
"98",1.25,"Premium","I","VS2",61,59,5975,6.89,6.98,4.23
"99",1.26,"Premium","I","VS2",61,59,5983,6.97,6.91,4.23
"100",1.36,"Premium","I","VS2",59.3,58,6017,7.21,7.18,4.27
"101",1.26,"Premium","I","VS2",62.4,58,6023,6.88,6.94,4.31
"102",1.22,"Premium","I","VS2",59.3,59,6045,6.96,7.01,4.14
"103",1.25,"Premium","I","VS2",61,59,6084,6.98,6.89,4.23
"104",1.27,"Premium","I","VS2",62.6,59,6116,6.95,6.86,4.32
"105",1.22,"Premium","I","VS2",60.6,58,6149,6.93,6.89,4.19
"106",1.22,"Premium","I","VS2",59.3,59,6156,7.01,6.96,4.14
"107",1.23,"Premium","I","VS2",59.3,59,6199,7.13,6.97,4.18
"108",1.23,"Premium","I","VS2",61.1,60,6206,6.95,6.89,4.23
"109",1.22,"Premium","I","VS2",60.3,59,6217,6.93,6.87,4.16
"110",1.3,"Premium","I","VS2",62.7,58,6246,6.97,6.9,4.35
"111",1.24,"Premium","I","VS2",60.2,58,6257,6.98,6.93,4.19
"112",1.29,"Premium","I","VS2",62.2,57,6279,7.01,6.97,4.35
"113",1.25,"Premium","I","VS2",61.2,58,6300,6.94,6.89,4.23
"114",1.33,"Premium","I","VS2",62.5,61,6316,7.02,6.99,4.38
"115",1.29,"Premium","I","VS2",60.4,58,6321,7.12,7.03,4.27
"116",1.31,"Premium","I","VS2",61.9,59,6323,7.02,6.98,4.33
"117",1.26,"Premium","I","VS2",61.2,59,6350,7.03,6.9,4.26
"118",1.31,"Premium","I","VS2",61.9,59,6438,7.02,6.98,4.33
"119",1.3,"Premium","I","VS2",60.1,58,6442,7.1,7.14,4.28
"120",1.28,"Premium","I","VS2",62.5,61,6451,6.89,6.86,4.3
"121",1.34,"Premium","I","VS2",61.8,59,6754,7.07,7.04,4.36
"122",1.28,"Premium","I","VS2",61.7,60,6762,7.05,6.95,4.32
"123",1.52,"Premium","I","VS2",61.7,61,6793,7.35,7.3,4.52
"124",1.31,"Premium","I","VS2",62.4,61,6921,6.98,6.9,4.33
"125",1.31,"Premium","I","VS2",60,58,6921,7.15,7.11,4.28
"126",0.34,"Premium","I","VS2",62.1,57,612,4.48,4.44,2.77
"127",0.34,"Premium","I","VS2",61.8,58,612,4.51,4.48,2.78
"128",1.36,"Premium","I","VS2",61.9,56,7104,7.17,7.08,4.41
"129",1.56,"Premium","I","VS2",60.8,59,7326,7.56,7.51,4.58
"130",1.57,"Premium","I","VS2",60.8,59,7385,7.5,7.47,4.55
"131",1.59,"Premium","I","VS2",62,58,7479,7.44,7.39,4.6
"132",1.55,"Premium","I","VS2",61.3,58,7656,7.48,7.44,4.57
"133",1.57,"Premium","I","VS2",62.2,58,7755,7.43,7.35,4.59
"134",1.5,"Premium","I","VS2",62.3,59,8431,7.24,7.3,4.53
"135",1.58,"Premium","I","VS2",59.4,61,8583,7.66,7.63,4.54
"136",1.73,"Premium","I","VS2",59.8,58,8680,7.8,7.79,4.66
"137",1.5,"Premium","I","VS2",58.4,61,8820,7.48,7.42,4.35
"138",1.5,"Premium","I","VS2",62.3,58,8820,7.31,7.26,4.54
"139",1.5,"Premium","I","VS2",62.9,58,8820,7.17,7.08,4.48
"140",1.54,"Premium","I","VS2",61.7,59,8917,7.4,7.34,4.55
"141",1.51,"Premium","I","VS2",62.3,60,8997,7.35,7.29,4.56
"142",1.5,"Premium","I","VS2",62.5,59,9055,7.3,7.26,4.55
"143",1.52,"Premium","I","VS2",59,59,9057,7.53,7.46,4.42
"144",1.52,"Premium","I","VS2",62.6,59,9108,7.34,7.19,4.55
"145",1.71,"Premium","I","VS2",61.5,58,9116,7.74,7.54,4.7
"146",1.51,"Premium","I","VS2",63,60,9116,7.3,7.25,4.58
"147",1.51,"Premium","I","VS2",61.8,59,9301,7.36,7.4,4.56
"148",1.59,"Premium","I","VS2",59.9,60,9304,7.57,7.61,4.55
"149",1.7,"Premium","I","VS2",61.3,59,9330,7.69,7.59,4.68
"150",1.61,"Premium","I","VS2",58.4,59,9341,7.73,7.68,4.5
"151",1.71,"Premium","I","VS2",62.4,61,9384,7.67,7.59,4.76
"152",1.5,"Premium","I","VS2",61.1,60,9471,7.33,7.36,4.49
"153",1.51,"Premium","I","VS2",60.9,60,9471,7.46,7.33,4.5
"154",1.59,"Premium","I","VS2",59.9,60,9474,7.61,7.57,4.55
"155",1.57,"Premium","I","VS2",62.2,59,9478,7.44,7.42,4.62
"156",1.5,"Premium","I","VS2",62.3,60,9479,7.25,7.19,4.5
"157",1.76,"Premium","I","VS2",62.4,58,9659,7.7,7.65,4.79
"158",1.54,"Premium","I","VS2",59.8,59,9659,7.61,7.53,4.53
"159",1.51,"Premium","I","VS2",60.5,59,9682,7.44,7.41,4.49
"160",1.6,"Premium","I","VS2",60.2,58,9784,7.63,7.56,4.57
"161",1.57,"Premium","I","VS2",62.5,58,9847,7.5,7.42,4.66
"162",1.57,"Premium","I","VS2",62.6,58,9847,7.4,7.36,4.62
"163",1.7,"Premium","I","VS2",62.5,58,9996,7.52,7.45,4.68
"164",1.51,"Premium","I","VS2",59.9,60,10010,7.42,7.36,4.43
"165",1.53,"Premium","I","VS2",62,58,10013,7.36,7.41,4.58
"166",1.59,"Premium","I","VS2",60.2,60,10039,7.58,7.61,4.57
"167",1.83,"Premium","I","VS2",60.5,60,10043,7.93,7.86,4.78
"168",1.53,"Premium","I","VS2",62,58,10196,7.41,7.36,4.58
"169",1.59,"Premium","I","VS2",60.2,60,10222,7.61,7.58,4.57
"170",1.7,"Premium","I","VS2",61.9,56,10396,7.55,7.5,4.66
"171",1.59,"Premium","I","VS2",62.9,56,10471,7.48,7.43,4.69
"172",1.63,"Premium","I","VS2",61,60,10479,7.62,7.59,4.64
"173",1.69,"Premium","I","VS2",62.4,58,10600,7.66,7.53,4.74
"174",1.7,"Premium","I","VS2",62.7,58,10662,7.57,7.52,4.73
"175",1.62,"Premium","I","VS2",60.1,59,10669,7.63,7.6,4.58
"176",0.35,"Premium","I","VS2",62.9,57,630,4.53,4.5,2.84
"177",1.67,"Premium","I","VS2",61.9,56,10736,7.64,7.6,4.72
"178",1.7,"Premium","I","VS2",62.4,58,10910,7.61,7.56,4.73
"179",1.7,"Premium","I","VS2",62,59,10929,7.6,7.55,4.7
"180",2.02,"Premium","I","VS2",61.2,60,11059,8.22,8.13,5
"181",1.7,"Premium","I","VS2",61.7,59,11062,7.63,7.57,4.69
"182",0.35,"Premium","I","VS2",61.2,58,630,4.57,4.55,2.79
"183",1.7,"Premium","I","VS2",61.7,59,11257,7.63,7.68,4.72
"184",1.7,"Premium","I","VS2",61.2,59,11257,7.55,7.62,4.64
"185",1.7,"Premium","I","VS2",61.2,59,11360,7.62,7.55,4.64
"186",1.7,"Premium","I","VS2",61.7,59,11360,7.68,7.63,4.72
"187",1.72,"Premium","I","VS2",58.3,61,11360,7.91,7.87,4.6
"188",1.7,"Premium","I","VS2",60.5,61,11369,7.68,7.65,4.64
"189",1.7,"Premium","I","VS2",61.4,59,11519,7.6,7.68,4.69
"190",1.7,"Premium","I","VS2",60.7,59,11519,7.63,7.7,4.65
"191",1.5,"Premium","I","VS2",61.4,58,11655,7.28,7.24,4.46
"192",1.7,"Premium","I","VS2",62.2,58,11781,7.6,7.65,4.74
"193",1.7,"Premium","I","VS2",62.2,58,11888,7.65,7.6,4.74
"194",1.71,"Premium","I","VS2",62.8,59,11958,7.58,7.52,4.74
"195",1.74,"Premium","I","VS2",58.6,59,12168,7.99,7.87,4.65
"196",0.38,"Premium","I","VS2",62.5,58,633,4.58,4.61,2.87
"197",0.38,"Premium","I","VS2",61.7,59,633,4.6,4.64,2.85
"198",0.38,"Premium","I","VS2",61.8,59,633,4.61,4.64,2.86
"199",0.38,"Premium","I","VS2",60.2,58,633,4.69,4.75,2.84
"200",1.77,"Premium","I","VS2",62.3,58,12378,7.74,7.68,4.8
"201",1.81,"Premium","I","VS2",62.7,58,12939,7.77,7.68,4.84
"202",2.01,"Premium","I","VS2",59.5,60,13003,8.26,8.21,4.9
"203",2.02,"Premium","I","VS2",59.2,58,13068,8.29,8.25,4.89
"204",2.1,"Premium","I","VS2",59.2,60,13753,8.38,8.35,4.95
"205",2.1,"Premium","I","VS2",60.7,61,14394,8.28,8.27,5.02
"206",2.22,"Premium","I","VS2",60.5,59,14662,8.41,8.37,5.08
"207",2,"Premium","I","VS2",58.5,61,14763,8.28,8.19,4.82
"208",2.37,"Premium","I","VS2",61.6,56,14837,8.7,8.6,5.33
"209",2.01,"Premium","I","VS2",62.1,59,15379,7.98,8.06,4.98
"210",2.14,"Premium","I","VS2",59.3,59,15418,8.39,8.43,5
"211",2.01,"Premium","I","VS2",62.1,59,15520,8.06,7.98,4.98
"212",2.14,"Premium","I","VS2",59.3,59,15559,8.43,8.39,5
"213",2,"Premium","I","VS2",59.5,62,15651,8.21,8.13,4.86
"214",2.02,"Premium","I","VS2",62.9,59,15808,8.03,7.93,5.02
"215",2.05,"Premium","I","VS2",62.5,59,15897,8.07,8.12,5.06
"216",2.01,"Premium","I","VS2",60.3,62,15939,8.13,8.08,4.89
"217",2.01,"Premium","I","VS2",60.3,62,15939,8.13,8.08,4.89
"218",2,"Premium","I","VS2",58.6,62,16068,8.2,8.17,4.8
"219",2.01,"Premium","I","VS2",61.6,61,16149,8.08,7.97,4.94
"220",2.03,"Premium","I","VS2",60.5,62,16309,8.22,8.17,4.96
"221",2.03,"Premium","I","VS2",58.5,60,16309,8.37,8.34,4.89
"222",2.03,"Premium","I","VS2",60.5,62,16483,8.22,8.17,4.96
"223",0.29,"Premium","I","VS2",62.4,58,429,4.23,4.2,2.63
"224",2,"Premium","I","VS2",60.7,60,16544,8.02,8.07,4.88
"225",2.01,"Premium","I","VS2",60.5,60,16626,8.15,8.17,4.94
"226",2,"Premium","I","VS2",60.7,60,16694,8.07,8.02,4.88
"227",2.01,"Premium","I","VS2",61.7,60,16700,8.09,8.02,4.97
"228",2.02,"Premium","I","VS2",59.6,60,16709,8.2,8.25,4.9
"229",2.04,"Premium","I","VS2",61,61,16768,8.14,8.08,4.95
"230",2.01,"Premium","I","VS2",62.8,58,16778,8.01,7.94,5.01
"231",2.01,"Premium","I","VS2",62.7,58,16778,7.98,7.94,4.99
"232",2.01,"Premium","I","VS2",59.2,62,16778,8.17,8.14,4.83
"233",2.01,"Premium","I","VS2",62.6,59,16778,8.04,8.01,5.02
"234",2.01,"Premium","I","VS2",61,61,16778,8.15,7.99,4.92
"235",2.01,"Premium","I","VS2",60.5,60,16778,8.17,8.15,4.94
"236",2.48,"Premium","I","VS2",60.1,58,16820,8.83,8.76,5.29
"237",2.02,"Premium","I","VS2",59.6,60,16861,8.25,8.2,4.9
"238",2.05,"Premium","I","VS2",60.8,58,16896,8.26,8.19,5
"239",2.04,"Premium","I","VS2",62.5,58,17028,8.22,8.09,5.1
"240",2.14,"Premium","I","VS2",60.7,59,17038,8.28,8.33,5.04
"241",2.14,"Premium","I","VS2",60.7,59,17193,8.33,8.28,5.04
"242",2.12,"Premium","I","VS2",61.5,58,17254,8.3,8.26,5.09
"243",2.14,"Premium","I","VS2",62.3,58,17416,8.22,8.16,5.1
"244",2.01,"Premium","I","VS2",61.1,60,17433,8.06,8.12,4.94
"245",2,"Premium","I","VS2",62.5,57,17574,8.01,7.92,4.98
"246",2.01,"Premium","I","VS2",61.1,60,17592,8.12,8.06,4.94
"247",2,"Premium","I","VS2",61.8,56,17716,8.11,8.04,4.99
"248",2.01,"Premium","I","VS2",60.3,58,17826,8.22,8.16,4.94
"249",2.02,"Premium","I","VS2",59,59,17893,8.34,8.27,4.9
"250",2.2,"Premium","I","VS2",58.9,60,17905,8.63,8.52,5.05
"251",2.23,"Premium","I","VS2",61.2,58,18149,8.43,8.36,5.14
"252",2.07,"Premium","I","VS2",61.2,58,18193,8.18,8.2,5.01
"253",2.3,"Premium","I","VS2",61.8,60,18239,8.47,8.39,5.21
"254",2.07,"Premium","I","VS2",61.2,58,18359,8.2,8.18,5.01
"255",2.2,"Premium","I","VS2",62,57,18364,8.38,8.34,5.18
"256",2.08,"Premium","I","VS2",58.9,61,18447,8.36,8.35,4.92
"257",2.16,"Premium","I","VS2",58.7,60,18481,8.54,8.5,5
"258",2.29,"Premium","I","VS2",60.8,60,18653,8.47,8.5,5.16
"259",0.36,"Premium","I","VS2",61.6,58,648,4.57,4.52,2.8
"260",0.36,"Premium","I","VS2",62.7,59,648,4.58,4.54,2.86
"261",2.29,"Premium","I","VS2",60.8,60,18823,8.5,8.47,5.16
"262",0.37,"Premium","I","VS2",61.1,59,666,4.65,4.58,2.82
"263",0.37,"Premium","I","VS2",61.6,60,666,4.61,4.58,2.83
"264",0.38,"Premium","I","VS2",62.4,56,682,4.65,4.58,2.88
"265",0.31,"Premium","I","VS2",61.1,58,435,4.36,4.38,2.67
"266",0.31,"Premium","I","VS2",59.9,60,435,4.41,4.44,2.65
"267",0.31,"Premium","I","VS2",62.3,60,435,4.31,4.32,2.69
"268",0.31,"Premium","I","VS2",59.8,60,435,4.38,4.42,2.63
"269",0.31,"Premium","I","VS2",60.8,58,435,4.34,4.37,2.65
"270",0.32,"Premium","I","VS2",62.2,59,449,4.35,4.37,2.71
"271",0.32,"Premium","I","VS2",62.6,58,449,4.37,4.42,2.75
"272",0.38,"Premium","I","VS2",62.5,58,812,4.61,4.58,2.87
"273",0.38,"Premium","I","VS2",61.7,59,812,4.64,4.6,2.85
"274",0.38,"Premium","I","VS2",61.5,58,812,4.62,4.61,2.84
"275",0.38,"Premium","I","VS2",61.8,59,812,4.64,4.61,2.86
"276",0.38,"Premium","I","VS2",60.2,58,812,4.75,4.69,2.84
"277",0.33,"Premium","I","VS2",60.6,58,463,4.44,4.47,2.7
"278",0.33,"Premium","I","VS2",62,60,463,4.41,4.46,2.75
"279",0.33,"Premium","I","VS2",61.1,59,463,4.4,4.44,2.7
"280",0.34,"Premium","I","VS2",61.8,58,477,4.48,4.51,2.78
"281",0.35,"Premium","I","VS2",61.2,58,491,4.55,4.57,2.79
"282",0.51,"Premium","I","VS2",62.9,55,1179,5.12,5.08,3.21
"283",0.53,"Premium","I","VS2",58.5,60,1209,5.37,5.33,3.13
"284",0.61,"Premium","I","VS2",58.8,58,1308,5.59,5.53,3.27
"285",0.55,"Premium","I","VS2",61.7,55,1314,5.35,5.29,3.28
"286",0.36,"Premium","I","VS2",62.7,59,505,4.54,4.58,2.86
"287",0.62,"Premium","I","VS2",61.9,59,1378,5.46,5.5,3.39
"288",0.61,"Premium","I","VS2",61.8,56,1438,5.44,5.41,3.35
"289",0.31,"Premium","I","VS2",59.3,59,521,4.42,4.38,2.61
"290",0.7,"Premium","I","VS2",61,59,1814,5.71,5.66,3.47
"291",0.71,"Premium","I","VS2",59.7,60,1923,5.83,5.86,3.49
"292",0.71,"Premium","I","VS2",60,58,1952,5.79,5.85,3.49
"293",0.7,"Premium","I","VS2",63,60,1966,5.62,5.59,3.53
"294",0.72,"Premium","I","VS2",61.1,61,1991,5.79,5.74,3.52
"295",0.71,"Premium","I","VS2",62.7,59,2127,5.66,5.69,3.56
"296",0.7,"Premium","I","VS2",60.8,59,2154,5.68,5.71,3.46
"297",0.76,"Premium","I","VS2",62.8,61,2175,5.78,5.74,3.62
"298",0.72,"Premium","I","VS2",60.9,60,2216,5.76,5.8,3.52
"299",0.73,"Premium","I","VS2",59.7,59,2246,5.81,5.94,3.51
"300",0.7,"Premium","I","VS2",60.8,59,2268,5.71,5.68,3.46
"301",0.77,"Premium","I","VS2",61.6,58,2275,5.92,5.96,3.66
"302",0.71,"Premium","I","VS2",62.1,59,2294,5.7,5.73,3.55
"303",0.71,"Premium","I","VS2",59.3,59,2300,5.89,5.81,3.47
"304",0.71,"Premium","I","VS2",60.4,60,2300,5.8,5.72,3.48
"305",0.71,"Premium","I","VS2",62.8,59,2300,5.67,5.64,3.55
"306",0.75,"Premium","I","VS2",60,57,2329,5.93,5.9,3.55
"307",0.72,"Premium","I","VS2",60.9,60,2333,5.8,5.76,3.52
"308",0.71,"Premium","I","VS2",62.9,60,2362,5.66,5.62,3.55
"309",0.73,"Premium","I","VS2",59.7,59,2365,5.94,5.81,3.51
"310",0.77,"Premium","I","VS2",60.3,58,2375,5.96,5.94,3.59
"311",0.8,"Premium","I","VS2",62.9,61,2616,5.84,5.77,3.65
"312",0.78,"Premium","I","VS2",62.7,58,2646,5.89,5.82,3.68
"313",0.82,"Premium","I","VS2",62.6,59,2648,5.91,5.87,3.69
"314",0.82,"Premium","I","VS2",62.2,59,2692,5.97,6.03,3.73
"315",0.82,"Premium","I","VS2",62.2,59,2716,6.03,5.97,3.73
